"Nombre";"Especialidad";"Subespecialidad";"Web";"Telefono";"Email";"Direccion_Zona";"Valoracion_Google";"Numero_resenas";"Usa_Google_Ads";"GBP_optimizado";"Oportunidad_detectada";"Puntuacion_0_100";"Prioridad";"Tiene_web";"Resumen_web";"DAFO_fortalezas";"DAFO_debilidades";"DAFO_oportunidades";"DAFO_amenazas";"LinkedIn_URL";"LinkedIn_decision";"Fuente"
"Aurea Clinic";"Medicina Estética";"Cirugía Plástica";"https://aureaclinic.com";"";"info@aureaclinic.com";"Aljarafe, Sevilla";"4,9";"";"SÍ";"SÍ";"Web premium oportunidad en contenido";"85";"Máxima";"SÍ";"Dra. Ana Martínez Padilla";"";"";"";"";"";"";"ampliada-v2"
"Clínica Yasmin Al Adib";"Medicina Estética";"General";"https://clinicayasmin.com";"";"drayasminaladib@gmail.com";"Sevilla";"4,8";"";"SÍ";"SÍ";"Web premium";"82";"Máxima";"SÍ";"Web premium referente";"";"";"";"";"";"";"ampliada-v2"
"Clínica Dental Julián Saiz";"DENTAL";"Implantes, ortodoncia, estética dental, rehabilitación oral";"https://clinicajuliansaiz.com";"954 533 594";"clinica@clinicajuliansaiz.com";"";"";"";"SÍ";"SÍ";"Desde 1974. Equipo 15 personas. Concepto """"""""""""""""Odontología Slow"""""""""""""""". Marca Clínica W. Buen SEO.";"80";"A";"SÍ";"Web premium con diseño atractivo, blog, equipo detallado (15 profesionales), concepto """"""""""""""""Odontología Slow""""""""""""""""";"Historia desde 1974, concepto diferencial """"""""""""""""Odontología Slow"""""""""""""""", equipo grande con anestesista, múltiples certificaciones";"Precios no visibles en web, poca presencia en Google Maps con reseñas";"Crear campañas SEM para tratamientos de alto valor (implantes, rehabilitación), potenciar Google My Business";"Cadenas dentales low-cost (Vitaldent, CEOP) que compiten en precio, nuevas clínicas con marketing agresivo";"";"";"ampliada"
"Clínica Piñero & Bilbao";"Odontología";"Estética";"https://pinerobilbao.es";"";"info@pinerobilbao.es";"Los Remedios, Sevilla";"4,8";"";"SÍ";"SÍ";"Podría mejorar posicionamiento local";"78";"Alta";"SÍ";"Web moderna con blog y casos";"";"";"";"";"";"";"ampliada-v2"
"Ginemed Sevilla";"Fertilidad";"Reproducción asistida, FIV, Ovodonación, ginecología";"https://www.ginemed.es/centros/clinica-reproduccion-asistida-ginemed-sevilla";"954 872 420";"administracion@ginemed.es";"C/ Farmacéutico Murillo Herrera 3, 41010 Sevilla (Triana)";"4,7";"";"SÍ";"SÍ";"Cadena nacional con fuerte inversión en marketing. Primer visita gratis. Alto ticket. SEO consolidado.";"78";"Alta";"SÍ";"Web moderna con múltiples landing pages, blog activo, SEO trabajado, presencia en redes";"Red nacional con alto presupuesto marketing, primera visita gratuita, financiación 100%, equipo médico amplio";"Información de precios poco transparente, dependencia de marca corporativa que puede restar cercanía";"Reforzar contenido local (Sevilla), crear campañas específicas para el centro de Triana";"Gran competitividad en el sector fertilidad, guerras de precios entre clínicas";"";"";"ampliada+ampliada-v2"
"Clínica Dental Manosalbas";"Odontología";"General";"https://clinicadental-manosalbas.com";"";"info@clinicadental-manosalbas.com";"Sevilla Este";"4,8";"";"SÍ";"SÍ";"Buena web pero oportunidad SEO local";"77";"Alta";"SÍ";"Web moderna, tecnología 3D, blog";"";"";"";"";"";"";"ampliada-v2"
"Bonaderma";"Dermatología";"Dermatología médica y estética, facial";"https://www.bonaderma.com";"678 120 542";"info@bonaderma.com";"C/ Albareda 22, 41001 Sevilla (Centro)";"4,8";"";"PROBABLE";"PARCIAL";"+35 años. Referente en acné y cáncer de piel. Sin blog activo. Oportunidad contenido.";"76";"Alta";"SÍ";"Web profesional con servicios detallados, equipo médico, sin blog activo";"Equipo con +35 años de experiencia, referente en patologías complejas como cáncer de piel, ubicación centro Sevilla";"Sin blog activo, contenido estático, poca presencia en redes sociales";"Crear blog con contenido SEO sobre dermatología (acné, manchas, prevención cáncer de piel), campañas SEM estacionales";"Grandes grupos hospitalarios con unidades de dermatología potentes, telemedicina";"";"";"ampliada+ampliada-v2"
"Carmen Sarmiento Centro Estética";"Medicina Estética";"Medicina estética, belleza, tecnología no invasiva";"https://carmensarmiento.net";"955 546 020";"info@carmensarmiento.net";"C/ Marqués de Paradas 37, 41001 Sevilla (Centro)";"4,7";"";"PROBABLE";"PARCIAL";"Desde 1998. Tecnología única en Sevilla para remodeling no invasivo. Web mejorable, oportunidad SEO.";"76";"Alta";"SÍ";"Web informativa con catálogo de servicios, blog escaso, presencia en Instagram y Facebook";"Desde 1998, tecnología única (Láser Frío Ultraclear exclusivo en Sevilla), ubicación céntrica, branding personal";"Web con diseño anticuado, blog inactivo, sin estrategia SEO aparente, poca presencia en Google Maps";"Renovar web y aplicar SEO, activar blog con contenido sobre medicina estética no invasiva, campañas SEM";"Competidores emergentes con webs más modernas, auge de tratamientos low-cost";"";"";"ampliada+ampliada-v2"
"Centro Médico Colón 15";"Centro Médico";"Avanzado";"https://colon15.com";"";"info@colon15.com";"C. Colón 15, junto Plaza Toros, Sevilla";"4,7";"";"SÍ";"SÍ";"Web premium";"76";"Alta";"SÍ";"Centro médico avanzado referencia";"";"";"";"";"";"";"ampliada-v2"
"Clínica Beiman Los Remedios";"Fisioterapia";"Medicina Deportiva";"https://www.clinicabeiman.es/sevilla";"";"infosevilla@clinicabeiman.com";"Los Remedios, Sevilla";"4,7";"";"SÍ";"SÍ";"Instalaciones premium";"76";"Alta";"SÍ";"300m² instalaciones premium";"";"";"";"";"";"";"ampliada-v2"
"Clínica Montecarmelo";"Odontología";"Estética";"https://clinicamontecarmelo.es";"";"info@clinicamontecarmelo.es";"Los Remedios, Sevilla";"4,5";"";"SÍ";"SÍ";"Doble enfoque dental-estética";"76";"Alta";"SÍ";"Clínica estética y dental combinada";"";"";"";"";"";"";"ampliada-v2"
"Sevilla Laser Clinic";"Oftalmología";"Cirugía Refractiva";"https://sevillalaserclinic.es";"";"info@sevillalaserclinic.es";"Sevilla";"4,8";"";"SÍ";"SÍ";"30 años oportunidad contenido";"76";"Alta";"SÍ";"30 años experiencia";"";"";"";"";"";"";"ampliada-v2"
"Clínica Dental Doble Ese";"Odontología";"General";"https://dobleese.es/clinica-dental-triana-sevilla";"";"";"Triana, Sevilla";"4,6";"";"SÍ";"SÍ";"Buena web, +25.000 pacientes";"75";"Alta";"SÍ";"Web moderna";"";"";"";"";"";"";"ampliada-v2"
"Clínica Dental Siguero";"Odontología";"Avanzada";"https://clinicasiguero.es";"";"info@clinicasiguero.com";"Los Remedios, Sevilla";"4,6";"";"NO";"SÍ";"Sin estrategia redes visible";"74";"Alta";"SÍ";"Centro Odontología Avanzada +15 años";"";"";"";"";"";"";"ampliada-v2"
"Clínica Mallen";"Medicina Estética";"Medicina y cirugía estética, lipotransformación, facial";"https://clinicamallen.com";"954 64 27 29";"info@clinicamallen.com";"Av. de la Cruz del Campo 38, 41005 Sevilla (Nervión)";"4,6";"";"PROBABLE";"SÍ";"Histórica desde 1983 con equipo multidisciplinar. Oportunidad en campañas SEM y SEO local.";"74";"Alta";"SÍ";"Web completa con blog, catálogo de tratamientos, equipo, testimonios, Instagram activo";"Trayectoria consolidada (40+ años), equipo multidisciplinar (médicos, cirujanos, nutricionistas, psicólogos), alta reputación local";"Diseño web algo desactualizado, blog con pocas publicaciones recientes";"Mejorar SEO on-page, activar blog con contenido frecuente, campaña Google Ads para captación de leads";"Clínicas más modernas con mejor presencia digital, grandes grupos de estética";"";"";"ampliada+ampliada-v2"
"Dental Este";"Odontología";"General";"https://www.dentaleste.com";"";"recepcion@dentaleste.com";"Sevilla Este";"4,7";"";"SÍ";"SÍ";"Instagram activo pero web mejorable";"74";"Alta";"SÍ";"+20 años, Instagram";"";"";"";"";"";"";"ampliada-v2"
"Mara Medicina Estética";"Medicina Estética";"General";"https://maramedicinaestetica.com";"";"mara@maramedicinaestetica.com";"Sevilla";"4,7";"";"SÍ";"SÍ";"Buena web oportunidad contenido";"74";"Alta";"SÍ";"15 años Dra. Mara";"";"";"";"";"";"";"ampliada-v2"
"Clínica Dental de Mora";"Odontología";"General";"https://www.clinicademora.es";"";"info@clinicademora.es";"C. Virgen de Luján, Los Remedios, Sevilla";"4,5";"";"NO";"SÍ";"Web corporativa clásica sin blog";"72";"Alta";"SÍ";"Clínica familiar fundada 1970, tercera generación";"";"";"";"";"";"";"ampliada-v2"
"Clínica Dermatológica Dra. Sara López";"Dermatología";"Dermatología médico-quirúrgica, ITS";"https://clinicasaralopez.com";"";"recepcion@clinicasaralopez.com";"Sevilla";"4,7";"";"SÍ";"PARCIAL";"+20 años. Unidad ITS. Web informativa. Oportunidad contenido dermatología.";"72";"Alta";"SÍ";"Web informativa con servicios, unidad ITS destacada, sin blog";"+20 años de experiencia, unidad especializada en ITS, enfoque en dermatología quirúrgica";"Sin blog, diseño web mejorable, poca actividad en redes";"Crear contenido SEO sobre dermatología e ITS, campañas SEM locales";"Grandes grupos hospitalarios, telemedicina dermatológica";"";"";"ampliada+ampliada-v2"
"Clínica Londres Nervión";"Medicina Estética";"General";"https://www.clinicalondres.es/clinicas/sevilla-nervion";"";"dpo@clinicalondres.es";"Nervión, Sevilla";"4,6";"";"SÍ";"SÍ";"Red nacional oportunidad contenido local";"72";"Alta";"SÍ";"Red nacional";"";"";"";"";"";"";"ampliada-v2"
"Clínica Podológica Dr. Gordillo";"Podología";"General";"http://www.doctoresdelpie.es";"";"info@doctoresdelpie.es";"Av. Miraflores, Sevilla";"4,7";"";"SÍ";"SÍ";"25 años internacional";"72";"Alta";"SÍ";"25 años biomecánica deportiva";"";"";"";"";"";"";"ampliada-v2"
"Dentistas M16";"Odontología";"General";"https://clinicam16.com";"";"dentistas@miraflores16.es";"Sevilla";"4,6";"";"SÍ";"SÍ";"Web moderna con blog";"72";"Alta";"SÍ";"Web moderna con blog";"";"";"";"";"";"";"ampliada-v2"
"Dr. José Quintana Cruz";"Traumatología";"Columna";"https://josequintanacruz.com";"";"cita@josequintanacruz.com";"Sevilla";"4,6";"";"SÍ";"SÍ";"Nicho columna oportunidad";"72";"Alta";"SÍ";"Especialista columna radiofrecuencia";"";"";"";"";"";"";"ampliada-v2"
"INSEGO";"Ginecología";"Oncología Ginecológica";"https://insego.es";"";"citas@insego.es";"Sevilla";"4,7";"";"SÍ";"SÍ";"Desde 1993 web mejorable";"72";"Alta";"SÍ";"Desde 1993 ginecología oncología";"";"";"";"";"";"";"ampliada-v2"
"Klinident Aljarafe";"Odontología";"Multidisciplinar";"https://www.klinident.com";"";"info@klinident.com";"C. Paraje Paterna 14-16, Bormujos";"4,6";"";"SÍ";"SÍ";"Buena web oportunidad contenido";"72";"Alta";"SÍ";"Dra. Rosa M. Díaz";"";"";"";"";"";"";"ampliada-v2"
"Logopedia (h)abla";"Logopedia";"Infantil";"https://www.logopediahabla.es";"";"info@logopediahabla.es";"Tomares, Sevilla";"4,7";"";"SÍ";"SÍ";"Tomares oportunidad contenido";"72";"Alta";"SÍ";"Atención temprana terapia domicilio";"";"";"";"";"";"";"ampliada-v2"
"Urogy Clínica Urología";"Urología";"General";"https://www.urogyclinicaurologia.com";"";"info@urogyclinicaurologia.com";"Sevilla";"4,7";"";"SÍ";"SÍ";"Cirugía robótica web mejorable";"72";"Alta";"SÍ";"Cirugía robótica Da Vinci";"";"";"";"";"";"";"ampliada-v2"
